match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,1,41,73.2%,42.1%,44.4%,23.1%,30.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Tallon Griekspoor,2,22,40.9%,18.8%,23.1%,9.1%,16.7%,16.7%,25.0%,0.0%,0.0%,0.0%
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,1,29,96.6%,90.9%,100.0%,100.0%,100.0%,-,-,-,-,-
20241119-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Carlos_Alcaraz,Carlos Alcaraz,2,21,76.2%,61.5%,72.7%,62.5%,83.3%,66.7%,100.0%,100.0%,100.0%,-
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,1,51,68.6%,51.5%,65.4%,47.1%,57.1%,40.0%,66.7%,33.3%,33.3%,33.3%
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,2,23,56.5%,41.2%,43.8%,40.0%,46.2%,30.0%,50.0%,40.0%,40.0%,40.0%
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,1,29,58.6%,36.8%,50.0%,36.4%,57.1%,0.0%,0.0%,0.0%,0.0%,0.0%
20241111-M-Tour_Finals-RR-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,2,13,61.5%,37.5%,42.9%,42.9%,60.0%,60.0%,75.0%,50.0%,100.0%,100.0%
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,1,42,76.2%,41.2%,58.3%,37.5%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Carlos Alcaraz,2,18,50.0%,40.0%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,1,34,64.7%,40.0%,57.1%,25.0%,50.0%,33.3%,50.0%,50.0%,50.0%,0.0%
20241029-M-Paris_Masters-R32-Carlos_Alcaraz-Nicolas_Jarry,Nicolas Jarry,2,23,43.5%,31.6%,54.5%,37.5%,60.0%,33.3%,100.0%,-,-,-
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,56,76.8%,62.9%,71.0%,50.0%,64.3%,50.0%,55.6%,20.0%,100.0%,100.0%
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,2,27,59.3%,52.2%,63.2%,56.3%,64.3%,44.4%,66.7%,33.3%,50.0%,50.0%
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,1,66,63.6%,52.0%,57.8%,36.7%,47.8%,29.4%,55.6%,20.0%,50.0%,50.0%
20241020-M-Six_Kings_Slam-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,2,37,51.4%,50.0%,66.7%,55.0%,78.6%,70.0%,87.5%,75.0%,100.0%,100.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,1,55,72.7%,61.5%,75.0%,50.0%,61.5%,37.5%,50.0%,0.0%,0.0%,0.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,2,36,55.6%,50.0%,61.5%,52.4%,73.3%,63.6%,87.5%,80.0%,100.0%,100.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,1,46,73.9%,55.6%,71.4%,50.0%,60.0%,42.9%,60.0%,50.0%,100.0%,100.0%
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,2,20,60.0%,46.7%,63.6%,50.0%,57.1%,25.0%,50.0%,50.0%,100.0%,-
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,49,73.5%,56.7%,63.0%,47.4%,69.2%,55.6%,62.5%,57.1%,80.0%,50.0%
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,20,50.0%,33.3%,45.5%,33.3%,50.0%,25.0%,50.0%,50.0%,100.0%,100.0%
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,41,78.0%,64.0%,80.0%,60.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,18,77.8%,75.0%,85.7%,83.3%,83.3%,71.4%,71.4%,60.0%,75.0%,50.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,1,27,55.6%,40.0%,50.0%,20.0%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,2,22,40.9%,23.5%,30.8%,25.0%,33.3%,25.0%,28.6%,16.7%,25.0%,25.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,1,24,79.2%,61.5%,88.9%,83.3%,83.3%,0.0%,0.0%,0.0%,0.0%,0.0%
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,2,24,66.7%,61.9%,72.2%,61.5%,72.7%,62.5%,71.4%,60.0%,60.0%,60.0%
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,75,72.0%,59.6%,75.6%,50.0%,66.7%,0.0%,0.0%,0.0%,-,-
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,46,58.7%,55.8%,66.7%,58.6%,68.0%,57.9%,78.6%,66.7%,75.0%,66.7%
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,71,66.2%,54.7%,64.4%,40.7%,52.4%,28.6%,33.3%,0.0%,0.0%,0.0%
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,2,54,57.4%,50.0%,62.2%,54.8%,70.8%,63.2%,75.0%,63.6%,87.5%,75.0%
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,42,54.8%,36.7%,44.0%,30.0%,42.9%,33.3%,66.7%,60.0%,75.0%,50.0%
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,22,54.5%,41.2%,50.0%,22.2%,25.0%,25.0%,50.0%,0.0%,0.0%,0.0%
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,36,75.0%,62.5%,71.4%,53.8%,58.3%,16.7%,20.0%,20.0%,50.0%,50.0%
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,16,56.3%,53.3%,61.5%,54.5%,60.0%,42.9%,75.0%,66.7%,100.0%,-
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,1,53,64.2%,51.3%,55.6%,33.3%,42.1%,31.3%,45.5%,33.3%,42.9%,33.3%
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,2,28,39.3%,26.1%,33.3%,20.0%,33.3%,25.0%,40.0%,25.0%,50.0%,0.0%
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,1,33,75.8%,60.0%,70.6%,58.3%,70.0%,50.0%,100.0%,100.0%,100.0%,100.0%
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,2,17,76.5%,75.0%,80.0%,70.0%,77.8%,66.7%,80.0%,66.7%,100.0%,100.0%
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,23,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,2,18,50.0%,25.0%,30.0%,12.5%,20.0%,20.0%,50.0%,0.0%,0.0%,0.0%
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,1,25,60.0%,47.4%,75.0%,50.0%,75.0%,50.0%,100.0%,-,-,-
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,2,17,29.4%,7.7%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,1,24,83.3%,69.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,-
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,2,25,68.0%,55.6%,66.7%,44.4%,57.1%,25.0%,50.0%,0.0%,-,-
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,1,34,73.5%,60.9%,66.7%,36.4%,57.1%,0.0%,0.0%,0.0%,0.0%,0.0%
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,2,21,85.7%,76.9%,90.9%,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,1,63,77.8%,70.8%,77.3%,68.8%,73.3%,52.9%,69.2%,60.0%,75.0%,60.0%
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,2,25,52.0%,47.8%,50.0%,42.1%,47.1%,43.8%,58.3%,44.4%,57.1%,50.0%
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,1,43,60.5%,39.3%,50.0%,26.7%,40.0%,25.0%,28.6%,0.0%,0.0%,0.0%
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,2,26,53.8%,45.5%,52.6%,43.8%,58.3%,50.0%,55.6%,20.0%,33.3%,0.0%
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,1,72,58.3%,45.5%,56.8%,40.6%,56.5%,41.2%,50.0%,36.4%,80.0%,75.0%
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,2,43,48.8%,33.3%,36.7%,24.0%,33.3%,14.3%,22.2%,22.2%,40.0%,25.0%
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,1,56,80.4%,69.4%,78.1%,68.2%,78.9%,71.4%,90.9%,80.0%,100.0%,100.0%
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,2,30,73.3%,68.0%,73.9%,60.0%,75.0%,62.5%,62.5%,25.0%,50.0%,50.0%
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,65,78.5%,57.6%,67.9%,55.0%,73.3%,60.0%,85.7%,66.7%,66.7%,0.0%
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,39,64.1%,46.2%,57.1%,47.1%,57.1%,33.3%,42.9%,20.0%,25.0%,25.0%
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,56,76.8%,62.9%,81.5%,72.2%,81.3%,72.7%,88.9%,75.0%,100.0%,100.0%
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,38,73.7%,64.3%,66.7%,52.6%,90.9%,87.5%,87.5%,75.0%,100.0%,100.0%
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,1,35,60.0%,41.7%,50.0%,37.5%,42.9%,20.0%,25.0%,14.3%,33.3%,33.3%
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,2,16,25.0%,14.3%,22.2%,22.2%,28.6%,28.6%,40.0%,25.0%,100.0%,-
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,1,22,77.3%,66.7%,83.3%,60.0%,100.0%,-,-,-,-,-
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,2,14,78.6%,66.7%,85.7%,85.7%,100.0%,100.0%,100.0%,-,-,-
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,46,65.2%,51.5%,68.0%,42.9%,60.0%,50.0%,80.0%,50.0%,100.0%,-
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,2,22,81.8%,73.3%,78.6%,66.7%,75.0%,50.0%,66.7%,66.7%,66.7%,0.0%
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,1,34,76.5%,65.2%,78.9%,63.6%,70.0%,50.0%,60.0%,60.0%,60.0%,33.3%
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,2,22,45.5%,36.8%,46.7%,33.3%,44.4%,37.5%,50.0%,0.0%,0.0%,0.0%
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,90,65.6%,55.7%,60.9%,46.8%,59.5%,50.0%,71.4%,57.1%,61.5%,16.7%
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,35,62.9%,43.5%,58.8%,46.2%,50.0%,45.5%,62.5%,50.0%,60.0%,50.0%
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,64,73.4%,57.5%,69.7%,44.4%,53.3%,41.7%,62.5%,50.0%,60.0%,0.0%
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,47,63.8%,56.4%,59.5%,46.4%,52.0%,40.0%,53.3%,50.0%,50.0%,30.0%
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,1,82,57.3%,47.0%,59.6%,51.2%,71.0%,59.1%,81.3%,72.7%,80.0%,75.0%
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Tommy Paul,2,52,51.9%,37.5%,48.4%,33.3%,42.1%,35.3%,50.0%,40.0%,44.4%,37.5%
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,1,73,65.8%,47.9%,59.0%,46.7%,66.7%,56.3%,81.8%,75.0%,85.7%,66.7%
20240709-M-Wimbledon-QF-Tommy_Paul-Carlos_Alcaraz,Carlos Alcaraz,2,44,65.9%,59.5%,64.7%,52.0%,72.2%,68.8%,78.6%,76.9%,76.9%,66.7%
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,1,56,83.9%,73.5%,83.3%,61.5%,66.7%,42.9%,75.0%,66.7%,100.0%,100.0%
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Carlos Alcaraz,2,29,62.1%,54.2%,68.4%,50.0%,75.0%,66.7%,80.0%,75.0%,100.0%,100.0%
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,1,69,58.0%,35.6%,42.1%,29.0%,50.0%,25.0%,42.9%,33.3%,66.7%,66.7%
20240701-M-Wimbledon-R128-Carlos_Alcaraz-Mark_Lajal,Mark Lajal,2,31,61.3%,45.5%,62.5%,53.8%,63.6%,42.9%,60.0%,50.0%,100.0%,-
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,1,98,63.3%,51.4%,57.6%,40.4%,51.4%,40.0%,50.0%,33.3%,50.0%,40.0%
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Alexander Zverev,2,29,37.9%,28.0%,35.0%,23.5%,26.7%,26.7%,33.3%,20.0%,50.0%,33.3%
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,1,96,64.6%,54.1%,58.8%,33.3%,43.8%,30.8%,44.4%,33.3%,55.6%,50.0%
20240609-M-Roland_Garros-F-Alexander_Zverev-Carlos_Alcaraz,Carlos Alcaraz,2,57,54.4%,53.6%,58.8%,52.3%,60.5%,50.0%,71.4%,62.5%,66.7%,54.5%
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,1,103,66.0%,55.7%,62.0%,48.1%,59.5%,41.4%,54.5%,41.2%,58.3%,54.5%
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,2,47,53.2%,45.0%,52.9%,42.9%,52.2%,47.6%,58.8%,50.0%,58.3%,54.5%
20240607-M-Roland_Garros-SF-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,1,76,73.7%,60.0%,65.2%,56.8%,61.8%,43.5%,71.4%,60.0%,75.0%,50.0%
